age,total,men,women,municipality_id,year
21,4674,225.0,174.0,123,2022
22,4291,207.0,159.0,123,2022
23,4168,194.0,162.0,123,2022
24,4823,227.0,185.0,123,2022
25,5318,264.0,190.0,123,2022
26,6569,354.0,206.0,123,2022
27,6325,308.0,231.0,123,2022
28,6137,292.0,232.0,123,2022
29,6907,308.0,281.0,123,2022
30,7866,353.0,317.0,123,2022
31,8457,381.0,340.0,123,2022
32,9197,386.0,399.0,123,2022
33,9951,423.0,426.0,123,2022
34,10453,446.0,446.0,123,2022
35,10714,449.0,465.0,123,2022
36,10363,432.0,452.0,123,2022
37,10367,439.0,446.0,123,2022
38,10505,443.0,453.0,123,2022
39,9590,411.0,407.0,123,2022
40,9021,387.0,382.0,123,2022
41,9140,391.0,389.0,123,2022
42,8488,359.0,365.0,123,2022
43,8306,349.0,360.0,123,2022
44,7781,322.0,342.0,123,2022
45,7564,313.0,333.0,123,2022
46,7683,321.0,334.0,123,2022
47,7375,313.0,316.0,123,2022
48,6927,290.0,301.0,123,2022
49,6854,290.0,294.0,123,2022
50,6576,276.0,285.0,123,2022
51,6259,265.0,269.0,123,2022
52,5918,238.0,267.0,123,2022
53,5797,237.0,257.0,123,2022
54,5594,226.0,251.0,123,2022
55,5586,227.0,250.0,123,2022
56,5658,221.0,262.0,123,2022
57,5877,228.0,273.0,123,2022
58,6176,238.0,288.0,123,2022
59,6428,237.0,311.0,123,2022
60,6612,245.0,319.0,123,2022
61,6719,233.0,340.0,123,2022
62,6596,238.0,324.0,123,2022
63,6578,230.0,331.0,123,2022
64,6396,222.0,324.0,123,2022
65,6090,206.0,313.0,123,2022
66,6041,196.0,319.0,123,2022
67,6484,219.0,334.0,123,2022
68,5737,184.0,306.0,123,2022
69,5800,185.0,310.0,123,2022
70,5457,172.0,294.0,123,2022
71,5209,161.0,283.0,123,2022
72,5407,161.0,300.0,123,2022
73,4342,128.0,243.0,123,2022
74,4174,122.0,234.0,123,2022
75,3698,107.0,208.0,123,2022
76,2157,56.0,128.0,123,2022
77,1882,49.0,111.0,123,2022
78,1592,45.0,90.0,123,2022
79,2110,58.0,122.0,123,2022
80,2811,72.0,168.0,123,2022
81,2632,65.0,159.0,123,2022
82,2707,68.0,163.0,123,2022
83,2365,58.0,143.0,123,2022
84,2458,55.0,155.0,123,2022
85,1490,33.0,94.0,123,2022
86,1091,24.0,69.0,123,2022
87,780,15.0,51.0,123,2022
88,561,11.0,37.0,123,2022
90,487,11.0,31.0,123,2022
91,474,9.0,31.0,123,2022
92,375,8.0,24.0,123,2022
93,305,7.0,19.0,123,2022
94,230,6.0,14.0,123,2022
95,184,3.0,13.0,123,2022
96,100,2.0,7.0,123,2022
97,69,1.0,5.0,123,2022
98,27,1.0,2.0,123,2022
99,13,1.0,1.0,123,2022
100,21,1.0,1.0,123,2022
0,4406,40.0,38.0,124,2022
1,4720,44.0,40.0,124,2022
2,4999,45.0,43.0,124,2022
3,5246,48.0,45.0,124,2022
4,5868,54.0,50.0,124,2022
5,6494,59.0,56.0,124,2022
6,6957,62.0,60.0,124,2022
7,6410,60.0,54.0,124,2022
8,6482,60.0,55.0,124,2022
9,6485,59.0,56.0,124,2022
10,6179,57.0,52.0,124,2022
11,6022,55.0,52.0,124,2022
12,6083,55.0,52.0,124,2022
13,5845,53.0,50.0,124,2022
14,5652,50.0,49.0,124,2022
15,5263,46.0,47.0,124,2022
16,4967,45.0,43.0,124,2022
17,5269,47.0,46.0,124,2022
18,4868,45.0,40.0,124,2022
19,4771,45.0,39.0,124,2022
20,4456,43.0,35.0,124,2022
21,4674,47.0,36.0,124,2022
22,4291,43.0,33.0,124,2022
23,4168,40.0,33.0,124,2022
24,4823,47.0,38.0,124,2022
25,5318,55.0,39.0,124,2022
26,6569,73.0,43.0,124,2022
27,6325,64.0,48.0,124,2022
28,6137,60.0,48.0,124,2022
29,6907,64.0,58.0,124,2022
30,7866,73.0,66.0,124,2022
31,8457,79.0,70.0,124,2022
32,9197,80.0,83.0,124,2022
33,9951,88.0,88.0,124,2022
34,10453,92.0,92.0,124,2022
35,10714,93.0,96.0,124,2022
36,10363,89.0,94.0,124,2022
37,10367,91.0,92.0,124,2022
38,10505,92.0,94.0,124,2022
39,9590,85.0,84.0,124,2022
40,9021,80.0,79.0,124,2022
41,9140,81.0,80.0,124,2022
42,8488,74.0,76.0,124,2022
43,8306,72.0,74.0,124,2022
44,7781,67.0,71.0,124,2022
45,7564,65.0,69.0,124,2022
46,7683,66.0,69.0,124,2022
47,7375,65.0,65.0,124,2022
48,6927,60.0,62.0,124,2022
49,6854,60.0,61.0,124,2022
50,6576,57.0,59.0,124,2022
51,6259,55.0,56.0,124,2022
52,5918,49.0,55.0,124,2022
53,5797,49.0,53.0,124,2022
54,5594,47.0,52.0,124,2022
55,5586,47.0,52.0,124,2022
56,5658,46.0,54.0,124,2022
57,5877,47.0,57.0,124,2022
58,6176,49.0,60.0,124,2022
59,6428,49.0,64.0,124,2022
60,6612,51.0,66.0,124,2022
61,6719,48.0,70.0,124,2022
62,6596,49.0,67.0,124,2022
63,6578,48.0,68.0,124,2022
64,6396,46.0,67.0,124,2022
65,6090,43.0,65.0,124,2022
66,6041,41.0,66.0,124,2022
67,6484,45.0,69.0,124,2022
68,5737,38.0,63.0,124,2022
69,5800,38.0,64.0,124,2022
70,5457,36.0,61.0,124,2022
71,5209,33.0,59.0,124,2022
72,5407,33.0,62.0,124,2022
73,4342,26.0,50.0,124,2022
74,4174,25.0,48.0,124,2022
75,3698,22.0,43.0,124,2022
76,2157,12.0,26.0,124,2022
77,1882,10.0,23.0,124,2022
78,1592,9.0,19.0,124,2022
79,2110,12.0,25.0,124,2022
80,2811,15.0,35.0,124,2022
81,2632,14.0,33.0,124,2022
82,2707,14.0,34.0,124,2022
83,2365,12.0,30.0,124,2022
84,2458,11.0,32.0,124,2022
85,1490,7.0,20.0,124,2022
86,1091,5.0,14.0,124,2022
87,780,3.0,11.0,124,2022
88,561,2.0,8.0,124,2022
90,487,2.0,6.0,124,2022
91,474,2.0,6.0,124,2022
92,375,2.0,5.0,124,2022
93,305,1.0,4.0,124,2022
94,230,1.0,3.0,124,2022
95,184,1.0,3.0,124,2022
96,100,0.0,1.0,124,2022
97,69,0.0,1.0,124,2022
98,27,0.0,0.0,124,2022
99,13,0.0,0.0,124,2022
100,21,0.0,0.0,124,2022
0,4406,14.0,13.0,125,2022
1,4720,15.0,14.0,125,2022
2,4999,16.0,15.0,125,2022
3,5246,17.0,16.0,125,2022
4,5868,19.0,17.0,125,2022
5,6494,20.0,19.0,125,2022
6,6957,22.0,21.0,125,2022
7,6410,21.0,19.0,125,2022
8,6482,21.0,19.0,125,2022
9,6485,20.0,19.0,125,2022
10,6179,20.0,18.0,125,2022
11,6022,19.0,18.0,125,2022
12,6083,19.0,18.0,125,2022
13,5845,18.0,17.0,125,2022
14,5652,17.0,17.0,125,2022
15,5263,16.0,16.0,125,2022
16,4967,15.0,15.0,125,2022
17,5269,16.0,16.0,125,2022
18,4868,16.0,14.0,125,2022
19,4771,16.0,14.0,125,2022
20,4456,15.0,12.0,125,2022
21,4674,16.0,12.0,125,2022
22,4291,15.0,11.0,125,2022
23,4168,14.0,12.0,125,2022
24,4823,16.0,13.0,125,2022
25,5318,19.0,14.0,125,2022
26,6569,25.0,15.0,125,2022
27,6325,22.0,17.0,125,2022
28,6137,21.0,17.0,125,2022
29,6907,22.0,20.0,125,2022
30,7866,25.0,23.0,125,2022
31,8457,27.0,24.0,125,2022
32,9197,28.0,29.0,125,2022
33,9951,30.0,31.0,125,2022
34,10453,32.0,32.0,125,2022
35,10714,32.0,33.0,125,2022
36,10363,31.0,32.0,125,2022
37,10367,32.0,32.0,125,2022
