age,total,men,women,administrative_unit_id,year
44,7781,1336.0,1420.0,88,2022
45,7564,1298.0,1381.0,88,2022
46,7683,1333.0,1388.0,88,2022
47,7375,1301.0,1310.0,88,2022
48,6927,1205.0,1248.0,88,2022
49,6854,1205.0,1222.0,88,2022
50,6576,1145.0,1184.0,88,2022
51,6259,1099.0,1117.0,88,2022
52,5918,989.0,1107.0,88,2022
53,5797,985.0,1068.0,88,2022
54,5594,937.0,1044.0,88,2022
55,5586,942.0,1037.0,88,2022
56,5658,917.0,1087.0,88,2022
57,5877,947.0,1134.0,88,2022
58,6176,990.0,1197.0,88,2022
59,6428,984.0,1292.0,88,2022
60,6612,1016.0,1326.0,88,2022
61,6719,967.0,1412.0,88,2022
62,6596,990.0,1346.0,88,2022
63,6578,956.0,1373.0,88,2022
64,6396,922.0,1343.0,88,2022
65,6090,856.0,1300.0,88,2022
66,6041,814.0,1325.0,88,2022
67,6484,910.0,1386.0,88,2022
68,5737,762.0,1270.0,88,2022
69,5800,766.0,1288.0,88,2022
70,5457,714.0,1219.0,88,2022
71,5209,670.0,1174.0,88,2022
72,5407,670.0,1244.0,88,2022
73,4342,530.0,1008.0,88,2022
74,4174,508.0,970.0,88,2022
75,3698,445.0,864.0,88,2022
76,2157,234.0,529.0,88,2022
77,1882,204.0,462.0,88,2022
78,1592,188.0,375.0,88,2022
79,2110,242.0,505.0,88,2022
80,2811,298.0,697.0,88,2022
81,2632,271.0,661.0,88,2022
82,2707,282.0,677.0,88,2022
83,2365,242.0,595.0,88,2022
84,2458,228.0,642.0,88,2022
85,1490,136.0,392.0,88,2022
86,1091,98.0,288.0,88,2022
87,780,64.0,212.0,88,2022
88,561,45.0,154.0,88,2022
90,487,44.0,128.0,88,2022
91,474,38.0,130.0,88,2022
92,375,35.0,98.0,88,2022
93,305,28.0,80.0,88,2022
94,230,23.0,58.0,88,2022
95,184,12.0,53.0,88,2022
96,100,7.0,28.0,88,2022
97,69,4.0,21.0,88,2022
98,27,3.0,7.0,88,2022
99,13,2.0,2.0,88,2022
100,21,2.0,5.0,88,2022
