,age,total_2022,male_2022,female_2022,total_2023,male_2023,female_2023,total_2024,male_2024,female_2024,total_2025,male_2025,female_2025,total_2026,male_2026,female_2026,total_2027,male_2027,female_2027,total_2028,male_2028,female_2028,total_2029,male_2029,female_2029,total_2030,male_2030,female_2030
71,71.0,4877.0,1755.0,3122.0,4986.0,1827.0,3159.0,5209.0,1890.0,3319.0,5116.0,1815.0,3301.0,5611.0,2093.0,3518.0,5304.0,1896.0,3408.0,5279.0,1936.0,3343.0,5471.0,2031.0,3440.0,5611.0,2091.0,3520.0
72,72.0,5100.0,1775.0,3325.0,4773.0,1691.0,3082.0,4883.0,1761.0,3122.0,5103.0,1823.0,3280.0,5018.0,1754.0,3264.0,5506.0,2022.0,3484.0,5221.0,1840.0,3381.0,5199.0,1879.0,3320.0,5392.0,1973.0,3419.0
73,73.0,4106.0,1402.0,2704.0,4974.0,1704.0,3270.0,4665.0,1627.0,3038.0,4772.0,1694.0,3078.0,4990.0,1754.0,3236.0,4913.0,1690.0,3223.0,5391.0,1947.0,3444.0,5128.0,1780.0,3348.0,5110.0,1818.0,3292.0
74,74.0,3971.0,1364.0,2607.0,3992.0,1341.0,2651.0,4840.0,1632.0,3208.0,4547.0,1560.0,2987.0,4652.0,1624.0,3028.0,4867.0,1682.0,3185.0,4798.0,1624.0,3174.0,5268.0,1870.0,3398.0,5024.0,1715.0,3309.0
75,75.0,3509.0,1201.0,2308.0,3841.0,1297.0,2544.0,3867.0,1278.0,2589.0,4694.0,1556.0,3138.0,4417.0,1489.0,2928.0,4519.0,1549.0,2970.0,4732.0,1606.0,3126.0,4671.0,1552.0,3119.0,5131.0,1786.0,3345.0
76,76.0,2043.0,641.0,1402.0,3372.0,1133.0,2239.0,3699.0,1226.0,2473.0,3734.0,1213.0,2521.0,4535.0,1477.0,3058.0,4275.0,1415.0,2860.0,4376.0,1472.0,2904.0,4584.0,1525.0,3059.0,4532.0,1476.0,3056.0
77,77.0,1792.0,562.0,1230.0,1953.0,601.0,1352.0,3223.0,1062.0,2161.0,3546.0,1154.0,2392.0,3586.0,1143.0,2443.0,4362.0,1395.0,2967.0,4119.0,1337.0,2782.0,4218.0,1390.0,2828.0,4424.0,1440.0,2984.0
78,78.0,1525.0,514.0,1011.0,1695.0,520.0,1175.0,1855.0,560.0,1295.0,3066.0,990.0,2076.0,3379.0,1078.0,2301.0,3424.0,1070.0,2354.0,4172.0,1307.0,2865.0,3948.0,1254.0,2694.0,4046.0,1303.0,2743.0
79,79.0,2000.0,654.0,1346.0,1433.0,472.0,961.0,1595.0,478.0,1117.0,1751.0,517.0,1234.0,2897.0,915.0,1982.0,3202.0,1000.0,2202.0,3250.0,994.0,2256.0,3967.0,1215.0,2752.0,3764.0,1167.0,2597.0
80,80.0,2639.0,787.0,1852.0,1866.0,597.0,1269.0,1337.0,430.0,907.0,1491.0,437.0,1054.0,1641.0,474.0,1167.0,2717.0,839.0,1878.0,3009.0,919.0,2090.0,3063.0,916.0,2147.0,3746.0,1119.0,2627.0
81,81.0,2500.0,754.0,1746.0,2446.0,714.0,1732.0,1727.0,539.0,1188.0,1237.0,388.0,849.0,1380.0,395.0,985.0,1524.0,430.0,1094.0,2527.0,763.0,1764.0,2806.0,836.0,1970.0,2863.0,834.0,2029.0
82,82.0,2613.0,773.0,1840.0,2300.0,678.0,1622.0,2249.0,642.0,1607.0,1584.0,483.0,1101.0,1135.0,348.0,787.0,1263.0,352.0,911.0,1402.0,386.0,1016.0,2330.0,685.0,1645.0,2594.0,752.0,1842.0
83,83.0,2384.0,683.0,1701.0,2386.0,691.0,1695.0,2097.0,605.0,1492.0,2046.0,570.0,1476.0,1438.0,428.0,1010.0,1030.0,307.0,723.0,1147.0,312.0,835.0,1277.0,342.0,935.0,2127.0,607.0,1520.0
84,84.0,2421.0,658.0,1763.0,2155.0,605.0,1550.0,2152.0,609.0,1543.0,1890.0,532.0,1358.0,1841.0,501.0,1340.0,1289.0,373.0,916.0,922.0,266.0,656.0,1029.0,271.0,758.0,1152.0,300.0,852.0
85,85.0,1634.0,422.0,304.0,1881.0,498.0,347.0,2035.0,547.0,373.0,2162.0,587.0,395.0,2207.0,600.0,403.0,2226.0,599.0,408.0,2114.0,566.0,388.0,1932.0,511.0,356.0,1793.0,464.0,333.0
