administrative_unit_id,social_group_id,age,men,women,year
85,32,87,3.0,9.0,2022
85,32,96,0.0,1.0,2022
85,32,80,9.0,24.0,2022
85,32,83,5.0,13.0,2022
85,32,90,2.0,6.0,2022
85,32,86,3.0,10.0,2022
85,32,84,4.0,10.0,2022
85,32,92,1.0,4.0,2022
85,32,93,1.0,3.0,2022
85,32,89,2.0,7.0,2022
85,32,97,0.0,1.0,2022
85,32,98,0.0,1.0,2022
85,32,99,0.0,0.0,2022
85,32,88,3.0,9.0,2022
85,32,82,6.0,16.0,2022
85,32,100,0.0,0.0,2022
85,32,79,10.0,22.0,2022
85,32,85,3.0,9.0,2022
85,32,95,0.0,2.0,2022
85,32,78,9.0,18.0,2022
85,32,81,10.0,26.0,2022
85,32,77,7.0,16.0,2022
85,32,94,1.0,2.0,2022
85,32,76,4.0,9.0,2022
85,32,91,2.0,5.0,2022
85,27,19,20.0,18.0,2022
85,27,20,19.0,18.0,2022
85,27,21,19.0,17.0,2022
85,27,22,18.0,16.0,2022
85,27,23,19.0,17.0,2022
85,27,24,19.0,17.0,2022
85,27,25,19.0,21.0,2022
85,27,26,26.0,28.0,2022
85,27,27,33.0,31.0,2022
85,27,28,38.0,36.0,2022
85,27,29,38.0,37.0,2022
85,27,30,35.0,36.0,2022
85,28,31,36.0,37.0,2022
85,28,32,35.0,37.0,2022
85,28,33,34.0,37.0,2022
85,28,34,34.0,35.0,2022
85,28,35,33.0,34.0,2022
85,28,36,30.0,31.0,2022
85,28,37,29.0,30.0,2022
85,28,38,30.0,32.0,2022
85,28,39,27.0,28.0,2022
85,28,40,27.0,29.0,2022
85,29,54,23.0,29.0,2022
85,29,51,22.0,26.0,2022
85,29,52,22.0,26.0,2022
85,29,45,25.0,28.0,2022
85,29,50,22.0,27.0,2022
85,29,60,21.0,31.0,2022
85,29,59,23.0,32.0,2022
85,29,44,24.0,27.0,2022
85,29,42,25.0,28.0,2022
85,29,41,25.0,28.0,2022
85,29,46,25.0,29.0,2022
85,29,43,24.0,28.0,2022
85,29,53,23.0,28.0,2022
85,29,48,25.0,29.0,2022
85,29,57,25.0,33.0,2022
85,29,49,22.0,27.0,2022
85,29,47,24.0,28.0,2022
85,29,55,24.0,30.0,2022
85,29,56,24.0,32.0,2022
85,29,58,27.0,35.0,2022
85,31,74,5.0,13.0,2022
85,31,71,14.0,28.0,2022
85,31,68,15.0,28.0,2022
85,31,70,13.0,26.0,2022
85,31,67,15.0,28.0,2022
85,31,63,19.0,31.0,2022
85,31,69,15.0,28.0,2022
85,31,66,16.0,29.0,2022
85,31,65,16.0,29.0,2022
85,31,62,19.0,30.0,2022
85,31,75,4.0,9.0,2022
85,31,73,10.0,19.0,2022
85,31,72,14.0,27.0,2022
85,31,61,20.0,31.0,2022
85,31,64,18.0,30.0,2022
85,21,7,3.0,3.0,2022
85,21,8,3.0,2.0,2022
85,21,9,3.0,3.0,2022
85,21,10,3.0,2.0,2022
85,21,11,2.0,2.0,2022
85,22,12,2.0,2.0,2022
85,22,13,2.0,2.0,2022
85,22,14,2.0,2.0,2022
85,22,15,3.0,2.0,2022
85,23,0,3.0,3.0,2022
85,24,1,3.0,3.0,2022
85,24,2,4.0,3.0,2022
85,26,16,2.0,2.0,2022
85,26,17,2.0,2.0,2022
85,26,18,2.0,2.0,2022
85,25,3,4.0,4.0,2022
85,25,4,4.0,3.0,2022
85,25,5,4.0,3.0,2022
85,25,6,4.0,3.0,2022
85,32,76,0.0,1.0,2022
85,32,77,1.0,2.0,2022
85,32,78,1.0,2.0,2022
85,32,79,1.0,2.0,2022
85,32,80,1.0,2.0,2022
85,32,81,1.0,3.0,2022
85,32,82,0.0,2.0,2022
85,32,83,0.0,1.0,2022
85,32,84,0.0,1.0,2022
85,32,85,0.0,1.0,2022
85,32,86,0.0,1.0,2022
85,32,87,0.0,1.0,2022
85,32,88,0.0,1.0,2022
85,32,89,0.0,1.0,2022
85,32,90,0.0,1.0,2022
85,32,91,0.0,0.0,2022
85,32,92,0.0,0.0,2022
85,32,93,0.0,0.0,2022
85,32,94,0.0,0.0,2022
85,32,95,0.0,0.0,2022
85,32,96,0.0,0.0,2022
85,32,97,0.0,0.0,2022
85,32,98,0.0,0.0,2022
85,32,99,0.0,0.0,2022
85,32,100,0.0,0.0,2022
85,27,19,2.0,2.0,2022
85,27,20,3.0,2.0,2022
85,27,21,3.0,2.0,2022
85,27,22,3.0,2.0,2022
85,27,23,3.0,2.0,2022
85,27,24,3.0,2.0,2022
85,27,25,3.0,2.0,2022
85,27,26,4.0,3.0,2022
85,27,27,5.0,3.0,2022
85,27,28,6.0,4.0,2022
85,27,29,6.0,4.0,2022
85,27,30,6.0,5.0,2022
85,28,31,6.0,5.0,2022
85,28,32,5.0,5.0,2022
85,28,33,5.0,5.0,2022
85,28,34,5.0,4.0,2022
85,28,35,4.0,4.0,2022
85,28,36,4.0,4.0,2022
85,28,37,4.0,4.0,2022
85,28,38,4.0,4.0,2022
85,28,39,4.0,4.0,2022
85,28,40,4.0,4.0,2022
85,29,41,3.0,4.0,2022
85,29,42,3.0,4.0,2022
85,29,43,3.0,4.0,2022
85,29,44,3.0,3.0,2022
85,29,45,3.0,3.0,2022
85,29,46,3.0,3.0,2022
85,29,47,3.0,3.0,2022
85,29,48,3.0,3.0,2022
85,29,49,3.0,3.0,2022
85,29,50,3.0,3.0,2022
85,29,51,3.0,3.0,2022
85,29,52,3.0,3.0,2022
85,29,53,3.0,3.0,2022
85,29,54,3.0,4.0,2022
85,29,55,3.0,4.0,2022
85,29,56,3.0,5.0,2022
85,29,57,3.0,5.0,2022
85,29,58,3.0,5.0,2022
85,29,59,3.0,5.0,2022
85,29,60,3.0,4.0,2022
85,31,61,3.0,4.0,2022
85,31,62,3.0,4.0,2022
85,31,63,3.0,4.0,2022
85,31,64,2.0,4.0,2022
85,31,65,2.0,4.0,2022
85,31,66,2.0,4.0,2022
85,31,67,2.0,4.0,2022
85,31,68,2.0,4.0,2022
85,31,69,2.0,4.0,2022
85,31,70,2.0,3.0,2022
85,31,71,1.0,3.0,2022
85,31,72,2.0,3.0,2022
85,31,73,1.0,2.0,2022
85,31,74,1.0,1.0,2022
85,31,75,0.0,1.0,2022
85,21,7,29.0,28.0,2022
85,21,8,26.0,24.0,2022
85,21,9,27.0,25.0,2022
85,21,10,26.0,24.0,2022
85,21,11,24.0,22.0,2022
85,22,12,23.0,21.0,2022
85,22,13,23.0,22.0,2022
85,22,14,23.0,23.0,2022
85,22,15,24.0,23.0,2022
85,23,0,33.0,32.0,2022
85,24,1,34.0,33.0,2022
85,24,2,36.0,35.0,2022
85,26,16,23.0,22.0,2022
85,26,17,22.0,22.0,2022
85,26,18,26.0,27.0,2022
85,25,3,36.0,34.0,2022
85,25,4,34.0,32.0,2022
85,25,5,33.0,31.0,2022
85,25,6,32.0,29.0,2022
85,32,87,5.0,16.0,2022
85,32,96,1.0,3.0,2022
85,32,80,17.0,44.0,2022
85,32,83,9.0,24.0,2022
85,32,90,3.0,11.0,2022
85,32,86,6.0,18.0,2022
85,32,84,7.0,18.0,2022
85,32,92,2.0,7.0,2022
85,32,93,1.0,5.0,2022
85,32,89,4.0,12.0,2022
85,32,97,1.0,2.0,2022
85,32,98,0.0,1.0,2022
85,32,99,0.0,1.0,2022
85,32,88,5.0,16.0,2022
85,32,82,11.0,28.0,2022
85,32,100,0.0,0.0,2022
85,32,79,17.0,40.0,2022
85,32,85,6.0,17.0,2022
85,32,95,1.0,3.0,2022
85,32,78,15.0,33.0,2022
85,32,81,18.0,46.0,2022
85,32,77,13.0,29.0,2022
85,32,94,1.0,4.0,2022
85,32,76,7.0,16.0,2022
85,32,91,3.0,8.0,2022
85,27,19,25.0,26.0,2022
85,27,20,26.0,28.0,2022
85,27,21,26.0,28.0,2022
85,27,22,25.0,26.0,2022
85,27,23,27.0,27.0,2022
85,27,24,26.0,28.0,2022
85,27,25,28.0,31.0,2022
85,27,26,37.0,40.0,2022
85,27,27,47.0,45.0,2022
85,27,28,54.0,52.0,2022
85,27,29,54.0,54.0,2022
85,27,30,58.0,59.0,2022
85,28,31,59.0,61.0,2022
85,28,32,57.0,60.0,2022
85,28,33,56.0,61.0,2022
85,28,34,55.0,57.0,2022
85,28,35,56.0,59.0,2022
85,28,36,52.0,54.0,2022
85,28,37,50.0,52.0,2022
85,28,38,52.0,55.0,2022
85,28,39,47.0,49.0,2022
85,28,40,47.0,50.0,2022
85,29,54,38.0,47.0,2022
85,29,51,36.0,41.0,2022
85,29,52,36.0,42.0,2022
85,29,45,45.0,47.0,2022
85,29,50,37.0,42.0,2022
85,29,60,31.0,44.0,2022
85,29,59,36.0,48.0,2022
85,29,44,42.0,46.0,2022
85,29,42,44.0,47.0,2022
85,29,41,44.0,47.0,2022
85,29,46,45.0,48.0,2022
85,29,43,44.0,47.0,2022
85,29,53,39.0,45.0,2022
85,29,48,45.0,49.0,2022
85,29,57,38.0,49.0,2022
85,29,49,39.0,44.0,2022
85,29,47,43.0,47.0,2022
85,29,55,37.0,44.0,2022
85,29,56,38.0,47.0,2022
85,29,58,41.0,52.0,2022
85,31,74,10.0,22.0,2022
85,31,71,23.0,45.0,2022
85,31,68,23.0,40.0,2022
85,31,70,19.0,41.0,2022
85,31,67,23.0,40.0,2022
85,31,63,28.0,43.0,2022
